Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,584
design__inferred_latch__count,0
design__instance__count,140880
design__instance__area,876865
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.006685041822493076
power__switching__total,0.0020794125739485025
power__leakage__total,9.75093485067191e-07
power__total,0.008765429258346558
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-8.823646063554275
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3310636303250322
timing__hold__ws__corner:nom_tt_025C_1v80,0.2359039697024569
timing__setup__ws__corner:nom_tt_025C_1v80,11.339459470141605
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.235904
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,32.801952
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,36
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,9
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-9.16856128081549
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.48049388050602637
timing__hold__ws__corner:nom_ss_100C_1v60,0.21159830042613692
timing__setup__ws__corner:nom_ss_100C_1v60,9.223613245360738
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.59601
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.052343
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-8.629016856405638
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2665787666065777
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11022971736274506
timing__setup__ws__corner:nom_ff_n40C_1v95,12.24217206703216
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.11023
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,39.363163
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,162
design__max_fanout_violation__count,4
design__max_cap_violation__count,22
clock__skew__worst_hold,-8.616827495428934
clock__skew__worst_setup,0.2492592869325969
timing__hold__ws,0.09519807434031378
timing__setup__ws,9.025774161312523
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109854
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.540213
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 880.0 1031.66
design__core__bbox,5.52 10.88 874.46 1020.0
design__io,233
design__die__area,907861
design__core__area,876865
design__instance__count__stdcell,71578
design__instance__area__stdcell,663251
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.756389
design__instance__utilization__stdcell,0.756389
design__rows,371
design__rows:unithd,371
design__sites,700819
design__sites:unithd,700819
design__instance__count__class:buffer,8
design__instance__area__class:buffer,50.048
design__instance__count__class:inverter,555
design__instance__area__class:inverter,2094.51
design__instance__count__class:sequential_cell,5254
design__instance__area__class:sequential_cell,119817
design__instance__count__class:multi_input_combinational_cell,44630
design__instance__area__class:multi_input_combinational_cell,456991
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,69302
design__instance__area__class:fill_cell,213614
design__instance__count__class:tap_cell,12495
design__instance__area__class:tap_cell,15633.7
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
design__max_slew_violation__count__corner:max_ss_100C_1v60,162
design__max_fanout_violation__count__corner:max_ss_100C_1v60,4
design__max_cap_violation__count__corner:max_ss_100C_1v60,22
clock__skew__worst_hold__corner:max_ss_100C_1v60,-9.195021893043553
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.5245621863134144
timing__hold__ws__corner:max_ss_100C_1v60,0.09519807434031378
timing__setup__ws__corner:max_ss_100C_1v60,9.025774161312523
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.597439
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,14.540213
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7.74
design__instance__displacement__mean,0
design__instance__displacement__max,4.1
route__wirelength__estimated,1789180
design__violations,0
design__instance__count__class:timing_repair_buffer,6872
design__instance__area__class:timing_repair_buffer,54238.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,859
design__instance__area__class:clock_buffer,11340.9
design__instance__count__class:clock_inverter,104
design__instance__area__class:clock_inverter,1081.04
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,69
global_route__vias,72
global_route__wirelength,3072701
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
